headline,reviewBody,ratingValue
Super light and efficient laptop,Super light and efficient laptop.  Crisp & clean screen and easier to handle. Very fast execution of apps and programs,5
NEW laptop is great,so far I am loving the new look and the feel of the new laptop,5
Lightweight powerhouse.,Great build quality \ excellent screen \ very good port options. Keyboard if quality and comfortable to type on the trackpad feels responsive and accurate. The weight of this laptop is outstanding perfect for the daily work commute.,5
Great Laptop for Work,Excellent laptop for work. Processor was able to handle my workload better than my current laptop.,5
Practical Solid Laptop,"So far so good, I like it has an HDMI, USB-C & A ports instead of all USB-C ports. The power adapter is lighter than I was expecting. laptop is a good size and weight. Screen image looks sharp. Will be using it for work/travel I think it will work out great.",5
Good Choice,Very light weight and like the touch of the keyboard,5
Like the laptop,"Really like the laptop, it is light and fast.",5
"A great, portable laptop.","An excellent all-around package. A great size, nice design and well built. Our staff has been very happy with the new device.",5
Feels like QUALITY! fast!,"Feels like quality! The construction is phenomenal, all aluminum! The mouse is amazing and the unit is FAST! We speced the unit with an i7 + 32GB RAM + 1TB SSD 
We also have 5g data which is convenient and fast.
Has HDMI, USB-C and Conventional USBs which is convenient!",5
The Best Laptop!,"Upgraded from Latitude 5440 which was 5 years old. Loved the light weight, speed and ergonamics of the laptop!",5
Amazing laptop!,"This laptop is amazing. It's lightweight, powerful, and easy to carry around. It feels sturdy and the touchpad and keyboard are very responsive. Highly recommended!",5
Performance and Quality,"the Dell Latitude 7440 XCTO is a strong contender in the business laptop category, offering a great blend of performance, display quality, and design. It’s a solid investment for professionals seeking a reliable and high-performing laptop.",5
Latitude 7440 Laptop or 2-in-1,Excellent quality as expected.,5
Nice and light yet powerful,This has everything you need to run your business from your pc. Very nice video quality and time saving features. Also a discreet built in physical slide camera blocker. Finger print on feature is secure and so fast.,5
Really impressed with performance and functionality of this laptop. It works great even under heavy workloads.,"High performance, light weight and built for productivity",5
Great Business Laptop that just delivers.,"It's a sleek laptop with a beautiful dark gray-silver finish. It runs superfast [I got it configured with an i7, 32 GB RAM]. Camera quality is good [much better than laptops 2-3 years ago, but it is not exceptional]. Excellent sound quality with the four-speaker setup.
It's a bit heavy for tablet mode [but that depends on the laptop's chassis you pick]. It's a worthwhile upgrade if you are coming from anything before 2020.",5
Latitude 7440 Laptop,"Love this unit, very lightweight and functional",5
Performance and Overall Quality,"The Dell Latitude 7440 is a high-performing laptop with fast boot times and a durable yet lightweight design. The laptop's build quality, battery life, screen resolution, and keyboard comfort are exceptional. It's an excellent investment for anyone who values performance, speed, and mobility.",5
New 7440,"Lightweight and portable with good battery experience. Takes a little getting used to new track pad, but it helped to adjust the sensitivity. I reduced sensitivity to prevent random clicks. All my apps (MATLAB) installed and work faster than previous older Latitude model. Screen real estate is a bit tighter. Can use pinch on track pad to zoom ... helpful.",5
Latitude 7440 BTX is Awesome!,Very pleasant and smooth to work with this machine. Really it is value for money.,5
Great!,Great performance and excellent display!,5
Dell 7440,best value for the dollar,5
Dell Lat 7440 Laptop/2 n 1,"Setup- Very Easy Windows 11 setup

Memory - 16GB expandable.

Video Graphics -- Decent, however, not as clear or bright as the 9440 models.

Device has (2) USB ports, type C and HDMI.

Camera shutter for built in camera.

Light device as compared to Dell 9440",5
Great laptop for the price,Great laptop for the price,5
Excellent balance of form and function,Excellent balance of form and function.  We use these in our business and the mobility in a device that gives you desktop performance has been key in delivering our services to clients.  When properly configured these laptops have been able to perform the tasks that our clients demand.  Outside of complex engineering designs with thousnads of layers to compile these have prefermed excellent.  The chassis is durable and sleek and the screens are beautiful.  I would recommend these to anyone.,5
7440 UL - Very light but powerful,"I like everything about this laptop, especially the light weight of it. My users are very happy as well. The keyboard is a bit larger as is the screen. I plan on keeping these in production for 4 years.",5
Light weight Latitude 7440 Laptop,Light weight & Snazzy looking for Sales persons who travel to customers.  They keyboard feel flows pretty nicely.  Sometimes I hit the power button with my pinky when meaning to hit the delete key as it is next to the delete key.  I get why it is there but it can be an annoyance until you get used to it which I haven't yet. I've only been using it for 2 weeks and so far I cannot complain and am very happy with it.,5
"Fast processing, great graphics, compact size, very good touch/tablet capabilities.","The i7 rips, the graphics are outstanding, and Dell made software installation and setup a breeze.",5
Greate,Greate business laptop it had all the features I required.,5
New devices for company use,Working as it was explained by rep,5
Great work computer,"Very fast computer, comfortable keyboard and mouse pad.  Screen is colorful and vibrant.  Easy connection to larger, external monitor.",5
Dell Latitude 7440 BTX - Excellent Option,"The Dell Latitude 7440 BTX is sleek, fast, and the battery lasts forever. So far I'm very happy with it!",5
Service with a Smile,"Outstanding service, selection and set up",5
Excellent Machine,"Excellent PC, I'm a demanding user and this machine does the job.",5
Easy to use,"Easy to use, touchscreen is what I am used to",5
Great Work Computer for Sales,Searched for a laptop with more memory and space for my growing business.  Selected this modle and it is working great.  Running two screens and no issues... Thank you DELL !!!,5
Well build 2 in 1 laptop. Would recommend,A good update to the current 14inch range,5
Perfect Computer for Small Business Owner,Absolutely love my new computer.  It runs many programs seamlessly and has a phenomenal battery life.  Great for a small business owner.,5
Quality Laptop,"Powerful, works great for work. Battery limiter works so I can set it to 85% when plugged in all the time. Build quality is good, haven't felt the frame flex. Keys have good tactile feel to them. Thunderbolt port works great with hub monitor.",5
Modern Executive mobile work tool,Magnesium version is slim and light but fully functional. The QHD touch screen is excellent and the 5 MP webcam provides great images for meetings.,5
Felix,Easy to setup & become productive.,5
Very Light!,Lightest laptop I have utilized which will be appreciated when traveling!,5
++,+++++++++++++++++++++++++,5
Great PC for Managers,"Laptop is great for executives looking to have a lightweight and fast device.  Screen is large enough with a crisp, bright display.  Able to maintain multiple applications open at the same time focusing on meeting apps like Teams and lots of mail processing with good speed.  Keyboard has nice feel to click keys and close enough to the edge for ergonomic feel.  Very easy to setup and get right to work!  Super light and easy to carry around when on the go.",5
"Light-weight, great keyboard","I work on a Dell at the office, so the transition to a Dell at home was not difficult. I am not crazy about the pop-up messages, but in time, I will remove them. I really like the keyboard. Tonight, I will find out if my other docking stations will be working on this Dell. I was told by my IT manager that Dell computers will work with no-name brand docking stations. We'll see!",5
Latitude 7440 2-in-1 Review.,"Great laptop, performance was top notch.",5
Best option,"Very good laptop , performance is good",5
Good laptop,"Works well. Their is a big difference between the dimensions of the 7440 and 7430. 7430 is more long, 7440 is more square.",5
Brief experience with our recent Latitude 2440 BTX,"We are very satisfied with the recent purchase of our Dell Latitude 7440 BTX.  The keyboard is very tactile and responsive to our touch.  Our 2019 Dell 5000 Inspiron still serves us well, but the Latitude shows the improvement in current technology. we have to date, experienced no problems with the operation of this computer.",5
"Light, Touch, and Capable","We purchased the 7440 to have a very light machine for easy daily transport but also with the touch screen.  For our machines we normally go only high end, so it was nice to find one that is not in that category but is nevertheless very capable.",5
